goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3953057509 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3191781532 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4570021977 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4584106350 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2688977464 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3782913506 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	5027310738 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4569669984 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	5021634167 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3709389029 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4373457998 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3734987229 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4024674523 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3744541556 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3725235695 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2782356578 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4039337781 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2985560298 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3693437486 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2869535712 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3271689187 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3441437154 ns/op	1870521664 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	4650779220 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2812113121 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3086433153 ns/op	1870521744 B/op	     464 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3099282836 ns/op	1870521664 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2375575024 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3617904821 ns/op	1870521664 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3667524249 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	4841898994 ns/op	1870521664 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3259628082 ns/op	2198765136 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3120070408 ns/op	2198765152 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	1752066008 ns/op	2198765152 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2326975420 ns/op	2198765152 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	5073497248 ns/op	2198765232 B/op	    1094 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	5337298775 ns/op	2198765248 B/op	    1094 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	4581023891 ns/op	2198765232 B/op	    1094 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2617228292 ns/op	2198765168 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2440844555 ns/op	2198765232 B/op	    1094 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	6206432476 ns/op	2198765152 B/op	    1093 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3894295879 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3810101307 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	4325506838 ns/op	2132719144 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3693968501 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3961484617 ns/op	2132719144 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2726914108 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3844531262 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3223244702 ns/op	2132719144 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3507118298 ns/op	2132719160 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2938111108 ns/op	2132719144 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3001952342 ns/op	1872644504 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3166595207 ns/op	1872644520 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3606001092 ns/op	1872644520 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3695147529 ns/op	1872644504 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3842210701 ns/op	1872644520 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3365592758 ns/op	1872644712 B/op	     512 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3748362096 ns/op	1872644520 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2547145274 ns/op	1872644536 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3064762263 ns/op	1872644520 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	4095769017 ns/op	1872644504 B/op	     510 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3769409295 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	5203681388 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3966130132 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	4337913470 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2858546689 ns/op	2132721096 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3636186877 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3467617886 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	4156173218 ns/op	2132721096 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3994978283 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	4113135724 ns/op	2132721112 B/op	     994 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2955434573 ns/op	2089731648 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3456459042 ns/op	2089731648 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2801690851 ns/op	2089731632 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	4081769096 ns/op	2089731648 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	4075042178 ns/op	2089731648 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3266999270 ns/op	2089731632 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2809489294 ns/op	2089731632 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2772946155 ns/op	2089731632 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2795667240 ns/op	2089731632 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3386757681 ns/op	2089731648 B/op	     867 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2905449212 ns/op	1903065600 B/op	     620 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3329766462 ns/op	1903065520 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3204503359 ns/op	1903065504 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	4236170964 ns/op	1903065696 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3835926631 ns/op	1903065504 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3245076318 ns/op	1903065680 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3249568580 ns/op	1903065520 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2970648430 ns/op	1903065504 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2586035119 ns/op	1903065504 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2712425717 ns/op	1903065504 B/op	     619 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=mixed-128      	       1	3097263705 ns/op	2089734160 B/op	     939 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=6/reduction=mixed-128      	       1	3382051369 ns/op	2089734144 B/op	     939 allocs/op
